timestamp;byte;samp_rate
1,040836;240;32000
1,040867;240;32000
1,040898;170;32000
1,040930;170;32000
1,040961;0;32000
1,040992;5;32000
1,041023;0;32000
1,041055;5;32000
1,041086;19;32000
1,041117;86;32000
1,041148;188;32000
1,041180;174;32000
1,041211;83;32000
2,046642;240;32000
2,046674;240;32000
2,046705;170;32000
2,046736;170;32000
2,046767;0;32000
2,046799;5;32000
2,046830;0;32000
2,046861;5;32000
2,046892;19;32000
2,046924;86;32000
2,046955;188;32000
2,046986;174;32000
2,047017;83;32000
3,053616;240;32000
3,053648;240;32000
3,053679;170;32000
3,053710;170;32000
3,053741;0;32000
3,053773;5;32000
3,053804;0;32000
3,053835;5;32000
3,053866;19;32000
3,053898;86;32000
3,053929;188;32000
3,053960;174;32000
3,053991;83;32000
4,055876;240;32000
4,055907;240;32000
4,055938;170;32000
4,055970;170;32000
4,056001;0;32000
4,056032;5;32000
4,056063;0;32000
4,056095;5;32000
4,056126;19;32000
4,056157;86;32000
4,056188;188;32000
4,056220;174;32000
4,056251;83;32000
5,067220;240;32000
5,067252;240;32000
5,067283;170;32000
5,067314;170;32000
5,067345;0;32000
5,067377;5;32000
5,067408;0;32000
5,067439;5;32000
5,067470;19;32000
5,067502;86;32000
5,067533;188;32000
5,067564;174;32000
5,067595;83;32000
6,081489;240;32000
6,081520;240;32000
6,081551;170;32000
6,081583;170;32000
6,081614;0;32000
6,081645;5;32000
6,081676;0;32000
6,081708;5;32000
6,081739;19;32000
6,081770;86;32000
6,081801;188;32000
6,081833;174;32000
6,081864;83;32000
