timestamp;byte;samp_rate
2,048665;0;32000
2,048697;0;32000
2,048728;0;32000
2,048759;1;32000
2,048790;0;32000
2,048822;0;32000
2,048853;1;32000
2,048884;1;32000
2,048915;0;32000
2,048947;1;32000
2,048978;0;32000
2,049009;1;32000
2,049040;0;32000
2,049072;1;32000
2,049103;1;32000
2,049134;0;32000
2,049165;1;32000
2,049197;0;32000
2,049228;1;32000
2,049259;1;32000
2,049290;1;32000
2,049322;1;32000
2,049353;0;32000
2,049384;0;32000
2,049415;1;32000
2,049447;0;32000
2,049478;1;32000
2,049509;0;32000
2,049540;1;32000
2,049572;1;32000
2,049603;1;32000
2,049634;0;32000
2,049665;0;32000
2,049697;1;32000
2,049728;0;32000
2,049759;1;32000
2,049790;0;32000
2,049822;0;32000
2,049853;1;32000
2,049884;1;32000
3,053616;0;32000
3,053648;0;32000
3,053679;0;32000
3,053710;1;32000
3,053741;0;32000
3,053773;0;32000
3,053804;1;32000
3,053835;1;32000
3,053866;0;32000
3,053898;1;32000
3,053929;0;32000
3,053960;1;32000
3,053991;0;32000
3,054023;1;32000
3,054054;1;32000
3,054085;0;32000
3,054116;1;32000
3,054148;0;32000
3,054179;1;32000
3,054210;1;32000
3,054241;1;32000
3,054273;1;32000
3,054304;0;32000
3,054335;0;32000
3,054366;1;32000
3,054398;0;32000
3,054429;1;32000
3,054460;0;32000
3,054491;1;32000
3,054523;1;32000
3,054554;1;32000
3,054585;0;32000
3,054616;0;32000
3,054648;1;32000
3,054679;0;32000
3,054710;1;32000
3,054741;0;32000
3,054773;0;32000
3,054804;1;32000
3,054835;1;32000
4,059907;0;32000
4,059939;0;32000
4,059970;0;32000
4,060001;1;32000
4,060032;0;32000
4,060064;0;32000
4,060095;1;32000
4,060126;1;32000
4,060157;0;32000
4,060189;1;32000
4,060220;0;32000
4,060251;1;32000
4,060282;0;32000
4,060314;1;32000
4,060345;1;32000
4,060376;0;32000
4,060407;1;32000
4,060439;0;32000
4,060470;1;32000
4,060501;1;32000
4,060532;1;32000
4,060564;1;32000
4,060595;0;32000
4,060626;0;32000
4,060657;1;32000
4,060689;0;32000
4,060720;1;32000
4,060751;0;32000
4,060782;1;32000
4,060814;1;32000
4,060845;1;32000
4,060876;0;32000
4,060907;0;32000
4,060939;1;32000
4,060970;0;32000
4,061001;1;32000
4,061032;0;32000
4,061064;0;32000
4,061095;1;32000
4,061126;1;32000
5,068207;0;32000
5,068238;0;32000
5,068270;0;32000
5,068301;1;32000
5,068332;0;32000
5,068363;0;32000
5,068395;1;32000
5,068426;1;32000
5,068457;0;32000
5,068488;1;32000
5,068520;0;32000
5,068551;1;32000
5,068582;0;32000
5,068613;1;32000
5,068645;1;32000
5,068676;0;32000
5,068707;1;32000
5,068738;0;32000
5,068770;1;32000
5,068801;1;32000
5,068832;1;32000
5,068863;1;32000
5,068895;0;32000
5,068926;0;32000
5,068957;1;32000
5,068988;0;32000
5,069020;1;32000
5,069051;0;32000
5,069082;1;32000
5,069113;1;32000
5,069145;1;32000
5,069176;0;32000
5,069207;0;32000
5,069238;1;32000
5,069270;0;32000
5,069301;1;32000
5,069332;0;32000
5,069363;0;32000
5,069395;1;32000
5,069426;1;32000
6,081489;0;32000
6,081520;0;32000
6,081551;0;32000
6,081583;1;32000
6,081614;0;32000
6,081645;0;32000
6,081676;1;32000
6,081708;1;32000
6,081739;0;32000
6,081770;1;32000
6,081801;0;32000
6,081833;1;32000
6,081864;0;32000
6,081895;1;32000
6,081926;1;32000
6,081958;0;32000
6,081989;1;32000
6,082020;0;32000
6,082051;1;32000
6,082083;1;32000
6,082114;1;32000
6,082145;1;32000
6,082176;0;32000
6,082208;0;32000
6,082239;1;32000
6,082270;0;32000
6,082301;1;32000
6,082333;0;32000
6,082364;1;32000
6,082395;1;32000
6,082426;1;32000
6,082458;0;32000
6,082489;0;32000
6,082520;1;32000
6,082551;0;32000
6,082583;1;32000
6,082614;0;32000
6,082645;0;32000
6,082676;1;32000
6,082708;1;32000
