timestamp;byte;samp_rate
1,024925;240;32000
1,024956;240;32000
1,024987;170;32000
1,025018;170;32000
1,025050;0;32000
1,025081;5;32000
1,025112;0;32000
1,025143;5;32000
1,025175;20;32000
1,025206;200;32000
1,025237;216;32000
1,025268;59;32000
1,025300;240;32000
2,027468;240;32000
2,027499;240;32000
2,027531;170;32000
2,027562;170;32000
2,027593;0;32000
2,027624;5;32000
2,027656;0;32000
2,027687;5;32000
2,027718;20;32000
2,027749;200;32000
2,027781;216;32000
2,027812;59;32000
2,027843;240;32000
3,042539;240;32000
3,042570;240;32000
3,042601;170;32000
3,042632;170;32000
3,042664;0;32000
3,042695;5;32000
3,042726;0;32000
3,042757;5;32000
3,042789;20;32000
3,042820;200;32000
3,042851;216;32000
3,042882;59;32000
3,042914;240;32000
