timestamp;byte;samp_rate
1,035599;240;32000
1,035630;240;32000
1,035661;170;32000
1,035693;170;32000
1,035724;0;32000
1,035755;5;32000
1,035786;0;32000
1,035818;5;32000
1,035849;19;32000
1,035880;86;32000
1,035911;188;32000
1,035943;174;32000
1,035974;83;32000
2,037970;240;32000
2,038001;240;32000
2,038032;170;32000
2,038063;170;32000
2,038095;0;32000
2,038126;5;32000
2,038157;0;32000
2,038188;5;32000
2,038220;19;32000
2,038251;86;32000
2,038282;188;32000
2,038313;174;32000
2,038345;83;32000
3,043796;240;32000
3,043828;240;32000
3,043859;170;32000
3,043890;170;32000
3,043921;0;32000
3,043953;5;32000
3,043984;0;32000
3,044015;5;32000
3,044046;19;32000
3,044078;86;32000
3,044109;188;32000
3,044140;174;32000
3,044171;83;32000
4,051165;240;32000
4,051196;240;32000
4,051227;170;32000
4,051259;170;32000
4,051290;0;32000
4,051321;5;32000
4,051352;0;32000
4,051384;5;32000
4,051415;19;32000
4,051446;86;32000
4,051477;188;32000
4,051509;174;32000
4,051540;83;32000
5,051660;240;32000
5,051691;240;32000
5,051723;170;32000
5,051754;170;32000
5,051785;0;32000
5,051816;5;32000
5,051848;0;32000
5,051879;5;32000
5,051910;19;32000
5,051941;86;32000
5,051973;188;32000
5,052004;174;32000
5,052035;83;32000
6,064718;240;32000
6,064749;240;32000
6,064781;170;32000
6,064812;170;32000
6,064843;0;32000
6,064874;5;32000
6,064906;0;32000
6,064937;5;32000
6,064968;19;32000
6,064999;86;32000
6,065031;188;32000
6,065062;174;32000
6,065093;83;32000
7,074582;240;32000
7,074614;240;32000
7,074645;170;32000
7,074676;170;32000
7,074707;0;32000
7,074739;5;32000
7,074770;0;32000
7,074801;5;32000
7,074832;19;32000
7,074864;86;32000
7,074895;188;32000
7,074926;174;32000
7,074957;83;32000
8,087605;240;32000
8,087636;240;32000
8,087667;170;32000
8,087698;170;32000
8,087730;0;32000
8,087761;5;32000
8,087792;0;32000
8,087823;5;32000
8,087855;19;32000
8,087886;86;32000
8,087917;188;32000
8,087948;174;32000
8,087980;83;32000
