timestamp;byte;samp_rate
2,040020;0;32000
2,040051;0;32000
2,040082;0;32000
2,040114;1;32000
2,040145;0;32000
2,040176;0;32000
2,040207;1;32000
2,040239;1;32000
2,040270;0;32000
2,040301;1;32000
2,040332;0;32000
2,040364;1;32000
2,040395;0;32000
2,040426;1;32000
2,040457;1;32000
2,040489;0;32000
2,040520;1;32000
2,040551;0;32000
2,040582;1;32000
2,040614;1;32000
2,040645;1;32000
2,040676;1;32000
2,040707;0;32000
2,040739;0;32000
2,040770;1;32000
2,040801;0;32000
2,040832;1;32000
2,040864;0;32000
2,040895;1;32000
2,040926;1;32000
2,040957;1;32000
2,040989;0;32000
2,041020;0;32000
2,041051;1;32000
2,041082;0;32000
2,041114;1;32000
2,041145;0;32000
2,041176;0;32000
2,041207;1;32000
2,041239;1;32000
