timestamp;byte;samp_rate
1,023595;172;65105
1,023611;221;65105
1,023626;164;65105
1,023641;226;65105
1,023657;242;65105
1,023672;140;65105
1,023687;32;65105
1,023703;252;65105
1,023718;0;65105
1,023734;1;65105
1,023749;0;65105
1,023764;1;65105
2,039127;172;65105
2,039142;221;65105
2,039158;164;65105
2,039173;226;65105
2,039189;242;65105
2,039204;140;65105
2,039219;32;65105
2,039235;252;65105
2,039250;0;65105
2,039265;1;65105
2,039281;0;65105
2,039296;1;65105
3,045323;172;65105
3,045338;221;65105
3,045354;164;65105
3,045369;226;65105
3,045384;242;65105
3,045400;140;65105
3,045415;32;65105
3,045430;252;65105
3,045446;0;65105
3,045461;1;65105
3,045476;0;65105
3,045492;1;65105
4,053827;172;65105
4,053842;221;65105
4,053858;164;65105
4,053873;226;65105
4,053888;242;65105
4,053904;140;65105
4,053919;32;65105
4,053934;252;65105
4,053950;0;65105
4,053965;1;65105
4,053980;0;65105
4,053996;1;65105
