timestamp;byte;samp_rate
2,048160;0;65105
2,048176;0;65105
2,048191;0;65105
2,048206;1;65105
2,048222;0;65105
2,048237;0;65105
2,048252;0;65105
2,048268;1;65105
3,048368;0;65105
3,048383;0;65105
3,048398;0;65105
3,048414;1;65105
3,048429;0;65105
3,048444;0;65105
3,048460;0;65105
3,048475;1;65105
4,051623;0;65105
4,051638;0;65105
4,051654;0;65105
4,051669;1;65105
4,051685;0;65105
4,051700;0;65105
4,051715;0;65105
4,051731;1;65105
5,051755;0;65105
5,051770;0;65105
5,051786;0;65105
5,051801;1;65105
5,051816;0;65105
5,051832;0;65105
5,051847;0;65105
5,051862;1;65105
6,057081;0;65105
6,057096;0;65105
6,057112;0;65105
6,057127;1;65105
6,057142;0;65105
6,057158;0;65105
6,057173;0;65105
6,057189;1;65105
7,072822;0;65105
7,072837;0;65105
7,072853;0;65105
7,072868;1;65105
7,072884;0;65105
7,072899;0;65105
7,072914;0;65105
7,072930;1;65105
8,085310;0;65105
8,085325;0;65105
8,085341;0;65105
8,085356;1;65105
8,085371;0;65105
8,085387;0;65105
8,085402;0;65105
8,085418;1;65105
9,092356;0;65105
9,092371;0;65105
9,092387;0;65105
9,092402;1;65105
9,092417;0;65105
9,092433;0;65105
9,092448;0;65105
9,092463;1;65105
10,101347;0;65105
10,101363;0;65105
10,101378;0;65105
10,101394;1;65105
10,101409;0;65105
10,101424;0;65105
10,101440;0;65105
10,101455;1;65105
