timestamp;byte;samp_rate
1,028552;0;32000
1,028583;0;32000
1,028614;0;32000
1,028646;1;32000
1,028677;0;32000
1,028708;0;32000
1,028739;1;32000
1,028771;1;32000
1,028802;0;32000
1,028833;1;32000
1,028864;0;32000
1,028896;1;32000
1,028927;0;32000
1,028958;1;32000
1,028989;1;32000
1,029021;0;32000
1,029052;1;32000
1,029083;0;32000
1,029114;1;32000
1,029146;1;32000
1,029177;1;32000
1,029208;1;32000
1,029239;0;32000
1,029271;0;32000
1,029302;1;32000
1,029333;0;32000
1,029364;1;32000
1,029396;0;32000
1,029427;1;32000
1,029458;1;32000
1,029489;1;32000
1,029521;0;32000
1,029552;0;32000
1,029583;1;32000
1,029614;0;32000
1,029646;1;32000
1,029677;0;32000
1,029708;0;32000
1,029739;1;32000
1,029771;1;32000
2,039740;0;32000
2,039772;0;32000
2,039803;0;32000
2,039834;1;32000
2,039865;0;32000
2,039897;0;32000
2,039928;1;32000
2,039959;1;32000
2,039990;0;32000
2,040022;1;32000
2,040053;0;32000
2,040084;1;32000
2,040115;0;32000
2,040147;1;32000
2,040178;1;32000
2,040209;0;32000
2,040240;1;32000
2,040272;0;32000
2,040303;1;32000
2,040334;1;32000
2,040365;1;32000
2,040397;1;32000
2,040428;0;32000
2,040459;0;32000
2,040490;1;32000
2,040522;0;32000
2,040553;1;32000
2,040584;0;32000
2,040615;1;32000
2,040647;1;32000
2,040678;1;32000
2,040709;0;32000
2,040740;0;32000
2,040772;1;32000
2,040803;0;32000
2,040834;1;32000
2,040865;0;32000
2,040897;0;32000
2,040928;1;32000
2,040959;1;32000
