timestamp;byte;samp_rate
1,022279;172;65105
1,022294;221;65105
1,022310;164;65105
1,022325;226;65105
1,022340;242;65105
1,022356;140;65105
1,022371;32;65105
1,022386;252;65105
1,022402;0;65105
1,022417;1;65105
1,022432;0;65105
1,022448;1;65105
2,026008;172;65105
2,026023;221;65105
2,026038;164;65105
2,026054;226;65105
2,026069;242;65105
2,026084;140;65105
2,026100;32;65105
2,026115;252;65105
2,026131;0;65105
2,026146;1;65105
2,026161;0;65105
2,026177;1;65105
3,035634;172;65105
3,035649;221;65105
3,035665;164;65105
3,035680;226;65105
3,035695;242;65105
3,035711;140;65105
3,035726;32;65105
3,035741;252;65105
3,035757;0;65105
3,035772;1;65105
3,035787;0;65105
3,035803;1;65105
4,047746;172;65105
4,047762;221;65105
4,047777;164;65105
4,047792;226;65105
4,047808;242;65105
4,047823;140;65105
4,047838;32;65105
4,047854;252;65105
4,047869;0;65105
4,047884;1;65105
4,047900;0;65105
4,047915;1;65105
