timestamp;byte;samp_rate
2,044409;0;65105
2,044424;0;65105
2,044440;0;65105
2,044455;1;65105
2,044470;0;65105
2,044486;0;65105
2,044501;0;65105
2,044517;1;65105
3,053140;0;65105
3,053155;0;65105
3,053170;0;65105
3,053186;1;65105
3,053201;0;65105
3,053216;0;65105
3,053232;0;65105
3,053247;1;65105
4,065482;0;65105
4,065498;0;65105
4,065513;0;65105
4,065528;1;65105
4,065544;0;65105
4,065559;0;65105
4,065575;0;65105
4,065590;1;65105
5,065651;0;65105
5,065667;0;65105
5,065682;0;65105
5,065697;1;65105
5,065713;0;65105
5,065728;0;65105
5,065744;0;65105
5,065759;1;65105
6,081381;0;65105
6,081397;0;65105
6,081412;0;65105
6,081427;1;65105
6,081443;0;65105
6,081458;0;65105
6,081473;0;65105
6,081489;1;65105
7,095105;0;65105
7,095120;0;65105
7,095135;0;65105
7,095151;1;65105
7,095166;0;65105
7,095181;0;65105
7,095197;0;65105
7,095212;1;65105
8,113945;0;65105
8,113961;0;65105
8,113976;0;65105
8,113991;1;65105
8,114007;0;65105
8,114022;0;65105
8,114037;0;65105
8,114053;1;65105
9,122693;0;65105
9,122709;0;65105
9,122724;0;65105
9,122739;1;65105
9,122755;0;65105
9,122770;0;65105
9,122785;0;65105
9,122801;1;65105
10,134527;0;65105
10,134542;0;65105
10,134557;0;65105
10,134573;1;65105
10,134588;0;65105
10,134604;0;65105
10,134619;0;65105
10,134634;1;65105
11,131936;0;65105
11,131951;0;65105
11,131966;0;65105
11,131982;1;65105
11,131997;0;65105
11,132012;0;65105
11,132028;0;65105
11,132043;1;65105
