timestamp;byte;samp_rate
1,029480;172;65105
1,029495;221;65105
1,029510;164;65105
1,029526;226;65105
1,029541;242;65105
1,029556;140;65105
1,029572;32;65105
1,029587;252;65105
1,029602;0;65105
1,029618;1;65105
1,029633;0;65105
1,029648;1;65105
1,029664;17;65105
2,040640;172;65105
2,040655;221;65105
2,040670;164;65105
2,040686;226;65105
2,040701;242;65105
2,040716;140;65105
2,040732;32;65105
2,040747;252;65105
2,040763;0;65105
2,040778;1;65105
2,040793;0;65105
2,040809;1;65105
2,040824;17;65105
3,047996;172;65105
3,048012;221;65105
3,048027;164;65105
3,048042;226;65105
3,048058;242;65105
3,048073;140;65105
3,048088;32;65105
3,048104;252;65105
3,048119;0;65105
3,048135;1;65105
3,048150;0;65105
3,048165;1;65105
3,048181;17;65105
4,057951;172;65105
4,057967;221;65105
4,057982;164;65105
4,057998;226;65105
4,058013;242;65105
4,058028;140;65105
4,058044;32;65105
4,058059;252;65105
4,058074;0;65105
4,058090;1;65105
4,058105;0;65105
4,058120;1;65105
4,058136;17;65105
5,063847;172;65105
5,063862;221;65105
5,063878;164;65105
5,063893;226;65105
5,063908;242;65105
5,063924;140;65105
5,063939;32;65105
5,063954;252;65105
5,063970;0;65105
5,063985;1;65105
5,064000;0;65105
5,064016;1;65105
5,064031;17;65105
6,074069;172;65105
6,074085;221;65105
6,074100;164;65105
6,074116;226;65105
6,074131;242;65105
6,074146;140;65105
6,074162;32;65105
6,074177;252;65105
6,074192;0;65105
6,074208;1;65105
6,074223;0;65105
6,074238;1;65105
6,074254;17;65105
7,075507;172;65105
7,075522;221;65105
7,075538;164;65105
7,075553;226;65105
7,075568;242;65105
7,075584;140;65105
7,075599;32;65105
7,075614;252;65105
7,075630;0;65105
7,075645;1;65105
7,075661;0;65105
7,075676;1;65105
7,075691;17;65105
8,085176;172;65105
8,085192;221;65105
8,085207;164;65105
8,085222;226;65105
8,085238;242;65105
8,085253;140;65105
8,085268;32;65105
8,085284;252;65105
8,085299;0;65105
8,085314;1;65105
8,085330;0;65105
8,085345;1;65105
8,085361;17;65105
