timestamp;byte;samp_rate
1,060184;172;60000000
1,060184;221;60000000
1,060184;164;60000000
1,060184;226;60000000
1,060184;242;60000000
1,060184;140;60000000
1,060184;32;60000000
1,060184;252;60000000
1,060184;0;60000000
1,060184;1;60000000
1,060184;0;60000000
1,060184;1;60000000
1,060184;17;60000000
2,065630;172;60000000
2,065630;221;60000000
2,065630;164;60000000
2,065630;226;60000000
2,065630;242;60000000
2,065630;140;60000000
2,065630;32;60000000
2,065630;252;60000000
2,065630;0;60000000
2,065630;1;60000000
2,065630;0;60000000
2,065630;1;60000000
2,065630;17;60000000
3,080321;172;60000000
3,080321;221;60000000
3,080321;164;60000000
3,080321;226;60000000
3,080321;242;60000000
3,080321;140;60000000
3,080321;32;60000000
3,080321;252;60000000
3,080321;0;60000000
3,080321;1;60000000
3,080321;0;60000000
3,080321;1;60000000
3,080321;17;60000000
4,084140;172;60000000
4,084140;221;60000000
4,084140;164;60000000
4,084140;226;60000000
4,084140;242;60000000
4,084140;140;60000000
4,084140;32;60000000
4,084140;252;60000000
4,084140;0;60000000
4,084140;1;60000000
4,084140;0;60000000
4,084140;1;60000000
4,084141;17;60000000
5,094427;172;60000000
5,094427;221;60000000
5,094427;164;60000000
5,094427;226;60000000
5,094427;242;60000000
5,094427;140;60000000
5,094427;32;60000000
5,094427;252;60000000
5,094427;0;60000000
5,094427;1;60000000
5,094427;0;60000000
5,094427;1;60000000
5,094427;17;60000000
6,096883;172;60000000
6,096883;221;60000000
6,096883;164;60000000
6,096883;226;60000000
6,096883;242;60000000
6,096883;140;60000000
6,096883;32;60000000
6,096883;252;60000000
6,096883;0;60000000
6,096883;1;60000000
6,096883;0;60000000
6,096883;1;60000000
6,096883;17;60000000
