timestamp;byte;samp_rate
0,789692;49;60000000
0,789692;49;60000000
0,834589;49;60000000
0,834589;172;60000000
0,834589;221;60000000
0,834589;164;60000000
0,834589;226;60000000
0,834589;242;60000000
0,834589;140;60000000
0,834589;32;60000000
0,834589;253;60000000
0,834589;128;60000000
0,834589;1;60000000
0,834589;0;60000000
0,834589;1;60000000
0,834589;49;60000000
0,834589;172;60000000
0,834589;221;60000000
0,834589;164;60000000
0,834589;226;60000000
0,834589;242;60000000
0,834589;140;60000000
0,834589;32;60000000
0,834589;252;60000000
0,834589;2;60000000
0,834589;241;60000000
0,834589;1;60000000
0,834589;1;60000000
0,834589;49;60000000
0,834589;172;60000000
0,834589;221;60000000
0,834589;164;60000000
0,834590;226;60000000
0,834590;242;60000000
0,834590;140;60000000
0,834590;32;60000000
0,834590;252;60000000
0,834590;0;60000000
0,834590;1;60000000
0,834590;2;60000000
0,834590;193;60000000
0,834590;49;60000000
0,834590;172;60000000
0,834590;221;60000000
0,834590;164;60000000
0,834590;226;60000000
0,834590;242;60000000
0,834590;140;60000000
0,834590;32;60000000
0,834590;252;60000000
0,834590;0;60000000
0,834590;1;60000000
0,834590;0;60000000
0,834590;1;60000000
0,834590;49;60000000
0,834590;172;60000000
0,834590;221;60000000
0,834590;164;60000000
0,834590;226;60000000
0,834590;242;60000000
0,834590;140;60000000
0,834590;32;60000000
0,834590;252;60000000
0,834590;0;60000000
0,834590;1;60000000
0,834590;0;60000000
0,834590;1;60000000
0,834590;49;60000000
0,834590;172;60000000
0,834590;221;60000000
0,834590;164;60000000
0,834590;226;60000000
0,834590;242;60000000
0,834590;140;60000000
0,834590;32;60000000
0,834590;252;60000000
0,834590;2;60000000
0,834590;65;60000000
0,834590;0;60000000
0,834590;1;60000000
0,834590;49;60000000
0,834590;172;60000000
0,834590;221;60000000
0,834590;164;60000000
0,834590;226;60000000
0,834590;242;60000000
0,834590;140;60000000
0,834590;32;60000000
0,834590;252;60000000
0,834590;0;60000000
0,834590;1;60000000
0,834590;64;60000000
0,834591;1;60000000
0,834591;49;60000000
0,834591;44;60000000
0,834591;221;60000000
0,834591;36;60000000
0,834591;226;60000000
0,834591;246;60000000
0,834591;140;60000000
0,834591;32;60000000
0,834591;252;60000000
0,834591;0;60000000
0,834591;1;60000000
0,834591;0;60000000
0,834591;1;60000000
0,834591;49;60000000
0,834591;44;60000000
0,834591;157;60000000
0,834591;44;60000000
0,834591;230;60000000
0,834591;246;60000000
0,834591;140;60000000
0,834591;32;60000000
0,834591;253;60000000
0,834591;0;60000000
0,834591;9;60000000
0,834591;0;60000000
0,834591;3;60000000
0,834591;49;60000000
0,834591;44;60000000
0,834591;153;60000000
0,834591;44;60000000
0,834591;230;60000000
0,834591;244;60000000
0,834591;140;60000000
0,834591;96;60000000
0,834591;252;60000000
0,834591;0;60000000
0,834591;9;60000000
0,834591;64;60000000
0,834591;3;60000000
0,834591;49;60000000
0,834591;108;60000000
0,834591;153;60000000
0,834591;44;60000000
0,834591;228;60000000
0,834591;244;60000000
0,834591;140;60000000
0,834591;96;60000000
0,834591;252;60000000
0,834591;0;60000000
0,834591;43;60000000
0,834591;88;60000000
0,834591;3;60000000
0,834591;49;60000000
0,834591;76;60000000
0,834591;153;60000000
0,834591;108;60000000
0,834591;228;60000000
0,834591;245;60000000
0,834591;140;60000000
0,834592;96;60000000
0,834592;252;60000000
0,834592;0;60000000
0,834592;139;60000000
0,834592;0;60000000
0,834592;3;60000000
0,834592;49;60000000
0,834592;76;60000000
0,834592;153;60000000
0,834592;108;60000000
0,834592;228;60000000
0,834592;245;60000000
0,834592;140;60000000
0,834592;96;60000000
0,834592;252;60000000
0,834592;0;60000000
0,834592;11;60000000
0,834592;0;60000000
0,834592;3;60000000
0,834592;49;60000000
0,834592;76;60000000
0,834592;153;60000000
0,834592;108;60000000
0,834592;228;60000000
0,834592;245;60000000
0,834592;140;60000000
0,834592;96;60000000
0,834592;252;60000000
0,834592;0;60000000
0,834592;11;60000000
0,834592;0;60000000
0,834592;3;60000000
0,834592;49;60000000
0,834592;76;60000000
0,834592;153;60000000
0,834592;108;60000000
0,834592;228;60000000
0,834592;245;60000000
0,834592;140;60000000
0,834592;96;60000000
0,834592;252;60000000
0,834592;0;60000000
0,834592;11;60000000
0,834592;0;60000000
0,834592;3;60000000
0,834592;49;60000000
0,834592;76;60000000
0,834592;153;60000000
0,834592;108;60000000
0,834592;228;60000000
0,834592;245;60000000
0,834592;140;60000000
0,834592;96;60000000
0,834592;252;60000000
0,834592;0;60000000
0,834592;3;60000000
0,834592;0;60000000
0,834592;3;60000000
0,834592;33;60000000
0,834592;76;60000000
0,834593;185;60000000
0,834593;109;60000000
0,834593;228;60000000
0,834593;245;60000000
0,834593;140;60000000
0,834593;96;60000000
0,834593;252;60000000
0,834593;0;60000000
0,834593;3;60000000
0,834593;0;60000000
0,834593;3;60000000
0,834593;33;60000000
0,834593;76;60000000
0,834593;153;60000000
0,834593;109;60000000
0,834593;196;60000000
0,834593;245;60000000
0,834593;140;60000000
0,834593;97;60000000
0,834593;252;60000000
0,834593;0;60000000
0,834593;3;60000000
0,834593;0;60000000
0,834593;3;60000000
0,834593;33;60000000
0,834593;77;60000000
0,834593;185;60000000
0,834593;109;60000000
0,834593;197;60000000
0,834593;229;60000000
0,834593;152;60000000
0,834593;97;60000000
0,834593;252;60000000
0,834593;0;60000000
0,834593;11;60000000
0,834593;64;60000000
0,834593;3;60000000
0,834593;33;60000000
0,834593;73;60000000
0,834593;185;60000000
0,834593;109;60000000
0,834593;196;60000000
0,834593;245;60000000
0,834593;140;60000000
0,834593;96;60000000
0,834593;248;60000000
0,834593;0;60000000
0,834593;11;60000000
0,834593;0;60000000
0,834593;3;60000000
0,834593;33;60000000
0,834593;77;60000000
0,834593;185;60000000
0,834593;109;60000000
0,834593;196;60000000
0,834593;245;60000000
0,834593;140;60000000
0,834593;96;60000000
0,834593;252;60000000
0,834593;0;60000000
0,834594;3;60000000
0,834594;64;60000000
0,834594;3;60000000
0,834594;97;60000000
0,834594;77;60000000
0,834594;185;60000000
0,834594;109;60000000
0,834594;196;60000000
0,834594;245;60000000
0,834594;136;60000000
0,834594;97;60000000
0,834594;248;60000000
0,834594;0;60000000
0,834594;3;60000000
0,834594;0;60000000
0,834594;3;60000000
0,834594;33;60000000
0,834594;77;60000000
0,834594;185;60000000
0,834594;109;60000000
0,834594;196;60000000
0,834594;245;60000000
0,834594;156;60000000
0,834594;96;60000000
0,834594;248;60000000
0,834594;0;60000000
0,834594;11;60000000
0,834594;0;60000000
0,834594;3;60000000
0,834594;33;60000000
0,834594;76;60000000
0,834594;185;60000000
0,834594;109;60000000
0,834594;196;60000000
0,834594;245;60000000
0,834594;152;60000000
0,834594;97;60000000
0,834594;252;60000000
0,834594;0;60000000
0,834594;3;60000000
0,834594;0;60000000
0,834594;3;60000000
0,834594;33;60000000
0,834594;77;60000000
0,834594;185;60000000
0,834594;109;60000000
0,834594;196;60000000
0,834594;245;60000000
0,834594;156;60000000
0,834594;97;60000000
0,834594;252;60000000
0,834594;0;60000000
0,834594;3;60000000
0,834594;0;60000000
0,834594;3;60000000
0,834594;33;60000000
0,834594;76;60000000
0,834594;153;60000000
0,834594;109;60000000
0,834594;196;60000000
0,834595;245;60000000
0,834595;140;60000000
0,834595;97;60000000
0,834595;252;60000000
0,834595;0;60000000
0,834595;3;60000000
0,834595;0;60000000
0,834595;3;60000000
0,834595;33;60000000
0,834595;76;60000000
0,834595;185;60000000
0,834595;109;60000000
0,834595;196;60000000
0,834595;245;60000000
0,834595;140;60000000
0,834595;97;60000000
0,834595;252;60000000
0,834595;0;60000000
0,834595;3;60000000
0,834595;0;60000000
0,834595;3;60000000
0,834595;33;60000000
0,834595;76;60000000
0,834595;185;60000000
0,834595;109;60000000
0,834595;196;60000000
0,834595;245;60000000
0,834595;136;60000000
0,834595;97;60000000
0,834595;252;60000000
0,834595;0;60000000
0,834595;3;60000000
0,834595;0;60000000
0,834595;3;60000000
0,834595;49;60000000
0,834595;76;60000000
0,834595;153;60000000
0,834595;108;60000000
0,834595;228;60000000
0,834595;245;60000000
0,834595;141;60000000
0,834595;96;60000000
0,834595;252;60000000
0,834595;0;60000000
0,834595;11;60000000
0,834595;64;60000000
0,834595;3;60000000
0,834595;49;60000000
0,834595;76;60000000
0,834595;153;60000000
0,834595;108;60000000
0,834595;228;60000000
0,834595;245;60000000
0,834595;140;60000000
0,834595;96;60000000
0,834595;252;60000000
0,834595;0;60000000
0,834595;3;60000000
0,834595;0;60000000
0,834595;3;60000000
0,834596;49;60000000
0,834596;76;60000000
0,834596;153;60000000
0,834596;109;60000000
0,834596;228;60000000
0,834596;245;60000000
0,834596;140;60000000
0,834596;96;60000000
0,834596;252;60000000
0,834596;0;60000000
0,834596;3;60000000
0,834596;0;60000000
0,834596;3;60000000
0,834596;49;60000000
0,834596;76;60000000
0,834596;153;60000000
0,834596;108;60000000
0,834596;228;60000000
0,834596;245;60000000
0,834596;140;60000000
0,834596;96;60000000
0,834596;252;60000000
0,834596;0;60000000
0,834596;3;60000000
0,834596;0;60000000
0,834596;3;60000000
0,834596;49;60000000
0,834596;76;60000000
0,834596;153;60000000
0,834596;108;60000000
0,834596;228;60000000
0,834596;245;60000000
0,834596;140;60000000
0,834596;96;60000000
0,834596;252;60000000
0,834596;0;60000000
0,834596;3;60000000
0,834596;0;60000000
0,834596;3;60000000
0,834596;49;60000000
0,834596;76;60000000
0,834596;153;60000000
0,834596;108;60000000
0,834596;228;60000000
0,834596;245;60000000
0,834596;140;60000000
0,834596;96;60000000
0,834596;252;60000000
0,834596;0;60000000
0,834596;11;60000000
0,834596;0;60000000
0,834596;3;60000000
0,834596;49;60000000
0,834596;108;60000000
0,834596;153;60000000
0,834596;108;60000000
0,834596;228;60000000
0,834596;244;60000000
0,834596;140;60000000
0,834596;96;60000000
0,834597;252;60000000
0,834597;0;60000000
0,834597;3;60000000
0,834597;0;60000000
0,834597;3;60000000
0,834597;49;60000000
0,834597;108;60000000
0,834597;153;60000000
0,834597;44;60000000
0,834597;230;60000000
0,834597;244;60000000
0,834597;140;60000000
0,834597;96;60000000
0,834597;252;60000000
0,834597;0;60000000
0,834597;3;60000000
0,834597;0;60000000
0,834597;3;60000000
0,834597;49;60000000
0,834597;108;60000000
0,834597;153;60000000
0,834597;44;60000000
0,834597;230;60000000
0,834597;244;60000000
0,834597;140;60000000
0,834597;96;60000000
0,834597;252;60000000
0,834597;0;60000000
0,834597;3;60000000
0,834597;0;60000000
0,834597;3;60000000
0,834597;49;60000000
0,834597;44;60000000
0,834597;153;60000000
0,834597;44;60000000
0,834597;230;60000000
0,834597;246;60000000
0,834597;140;60000000
0,834597;96;60000000
0,834597;252;60000000
0,834597;0;60000000
0,834597;1;60000000
0,834597;0;60000000
0,834597;1;60000000
0,834597;49;60000000
0,834597;44;60000000
0,834597;221;60000000
0,834597;44;60000000
0,834597;230;60000000
0,834597;246;60000000
0,834597;140;60000000
0,834597;96;60000000
0,834597;252;60000000
0,834597;0;60000000
0,834597;1;60000000
0,834597;0;60000000
0,834597;1;60000000
0,834597;49;60000000
0,834597;44;60000000
0,834597;221;60000000
0,834598;44;60000000
0,834598;230;60000000
0,834598;246;60000000
0,834598;140;60000000
0,834598;32;60000000
0,834598;252;60000000
0,834598;0;60000000
0,834598;1;60000000
0,834598;0;60000000
0,834598;1;60000000
0,834598;49;60000000
0,834598;44;60000000
0,834598;221;60000000
0,834598;36;60000000
0,834598;230;60000000
0,834598;246;60000000
0,834598;140;60000000
0,834598;32;60000000
0,834598;252;60000000
0,834598;0;60000000
0,834598;1;60000000
0,834598;0;60000000
0,834598;1;60000000
0,834598;49;60000000
0,834598;44;60000000
0,834598;221;60000000
0,834598;36;60000000
0,834598;226;60000000
0,834598;246;60000000
0,834598;140;60000000
0,834598;32;60000000
0,834598;252;60000000
0,834598;0;60000000
0,834598;1;60000000
0,834598;0;60000000
0,834598;1;60000000
0,834598;49;60000000
0,834598;44;60000000
0,834598;221;60000000
0,834598;164;60000000
0,834598;226;60000000
0,834598;246;60000000
0,834598;140;60000000
0,834598;32;60000000
0,834598;252;60000000
0,834598;0;60000000
0,834598;1;60000000
0,834598;0;60000000
0,834598;1;60000000
0,834598;49;60000000
0,834598;44;60000000
0,834598;221;60000000
0,834598;164;60000000
0,834598;226;60000000
0,834598;246;60000000
0,834598;140;60000000
0,834598;32;60000000
0,834598;252;60000000
0,834598;0;60000000
0,834598;1;60000000
0,834599;0;60000000
0,834599;1;60000000
0,834599;49;60000000
0,834599;172;60000000
0,834599;221;60000000
0,834599;164;60000000
0,834599;226;60000000
0,834599;242;60000000
0,834599;140;60000000
0,834599;32;60000000
0,834599;252;60000000
0,834599;0;60000000
0,834599;1;60000000
0,834599;0;60000000
0,834599;1;60000000
0,834599;49;60000000
0,834599;172;60000000
0,834599;221;60000000
0,834599;164;60000000
0,834599;226;60000000
0,834599;246;60000000
0,834599;140;60000000
0,834599;32;60000000
0,834599;252;60000000
0,834599;0;60000000
0,834599;1;60000000
0,834599;0;60000000
0,834599;1;60000000
0,834599;49;60000000
0,834599;172;60000000
0,834599;221;60000000
0,834599;164;60000000
0,834599;226;60000000
0,834599;246;60000000
0,834599;140;60000000
0,834599;32;60000000
0,834599;252;60000000
0,834599;0;60000000
0,834599;1;60000000
0,834599;0;60000000
0,834599;1;60000000
0,834599;49;60000000
0,834599;172;60000000
0,834599;221;60000000
0,834599;164;60000000
0,834599;226;60000000
0,834599;242;60000000
0,834599;140;60000000
0,834599;32;60000000
0,834599;252;60000000
0,834599;0;60000000
0,834599;1;60000000
0,834599;0;60000000
0,834599;1;60000000
0,834599;49;60000000
0,834599;172;60000000
0,834599;221;60000000
0,834599;164;60000000
0,834599;226;60000000
0,834599;246;60000000
0,834600;140;60000000
0,834600;32;60000000
0,834600;252;60000000
0,834600;0;60000000
0,834600;1;60000000
0,834600;0;60000000
0,834600;1;60000000
0,834600;49;60000000
0,834600;44;60000000
0,834600;221;60000000
0,834600;36;60000000
0,834600;226;60000000
0,834600;246;60000000
0,834600;140;60000000
0,834600;32;60000000
0,834600;252;60000000
0,834600;0;60000000
0,834600;1;60000000
0,834600;0;60000000
0,834600;1;60000000
0,834600;49;60000000
0,834600;44;60000000
0,834600;221;60000000
0,834600;36;60000000
0,834600;226;60000000
0,834600;246;60000000
0,834600;140;60000000
0,834600;32;60000000
0,834600;252;60000000
0,834600;0;60000000
0,834600;1;60000000
0,834600;0;60000000
0,834600;1;60000000
0,834600;49;60000000
0,834600;44;60000000
0,834600;221;60000000
0,834600;36;60000000
0,834600;230;60000000
0,834600;246;60000000
0,834600;140;60000000
0,834600;32;60000000
0,834600;252;60000000
0,834600;0;60000000
0,834600;1;60000000
0,834600;0;60000000
0,834600;1;60000000
0,834600;49;60000000
0,834600;44;60000000
0,834600;221;60000000
0,834600;44;60000000
0,834600;230;60000000
0,834600;246;60000000
0,834600;140;60000000
0,834600;32;60000000
0,834600;252;60000000
0,834600;0;60000000
0,834600;3;60000000
0,834600;0;60000000
0,834600;1;60000000
0,834600;49;60000000
0,834601;44;60000000
0,834601;157;60000000
0,834601;44;60000000
0,834601;230;60000000
0,834601;246;60000000
0,834601;140;60000000
0,834601;96;60000000
0,834601;252;60000000
0,834601;0;60000000
0,834601;3;60000000
0,834601;0;60000000
0,834601;3;60000000
0,834601;49;60000000
0,834601;44;60000000
0,834601;157;60000000
0,834601;44;60000000
0,834601;230;60000000
0,834601;246;60000000
0,834601;140;60000000
0,834601;96;60000000
0,834601;252;60000000
0,834601;0;60000000
0,834601;3;60000000
0,834601;0;60000000
0,834601;3;60000000
0,834601;49;60000000
0,834601;44;60000000
0,834601;153;60000000
0,834601;44;60000000
0,834601;230;60000000
0,834601;246;60000000
0,834601;140;60000000
0,834601;96;60000000
0,834601;252;60000000
0,834601;0;60000000
0,834601;3;60000000
0,834601;0;60000000
0,834601;3;60000000
0,834601;49;60000000
0,834601;108;60000000
0,834601;153;60000000
0,834601;44;60000000
0,834601;230;60000000
0,834601;244;60000000
0,834601;141;60000000
0,834601;96;60000000
0,834601;252;60000000
0,834601;0;60000000
0,834601;3;60000000
0,834601;0;60000000
0,834601;3;60000000
0,834601;49;60000000
0,834601;108;60000000
0,834601;153;60000000
0,834601;44;60000000
0,834601;230;60000000
0,834601;244;60000000
0,834601;140;60000000
0,834601;96;60000000
0,834601;252;60000000
0,834602;0;60000000
0,834602;3;60000000
0,834602;0;60000000
0,834602;3;60000000
0,834602;49;60000000
0,834602;108;60000000
0,834602;153;60000000
0,834602;108;60000000
0,834602;230;60000000
0,834602;245;60000000
0,834602;140;60000000
0,834602;96;60000000
0,834602;252;60000000
0,834602;0;60000000
0,834602;3;60000000
0,834602;0;60000000
0,834602;3;60000000
0,834602;49;60000000
0,834602;108;60000000
0,834602;153;60000000
0,834602;108;60000000
0,834602;228;60000000
0,834602;245;60000000
0,834602;141;60000000
0,834602;96;60000000
0,834602;252;60000000
0,834602;0;60000000
0,834602;3;60000000
0,834602;0;60000000
0,834602;3;60000000
0,834602;49;60000000
0,834602;108;60000000
0,834602;153;60000000
0,834602;108;60000000
0,834602;228;60000000
0,834602;245;60000000
0,834602;141;60000000
0,834602;96;60000000
0,834602;252;60000000
0,834602;0;60000000
0,834602;3;60000000
0,834602;0;60000000
0,834602;3;60000000
0,834602;49;60000000
0,834602;108;60000000
0,834602;153;60000000
0,834602;108;60000000
0,834602;228;60000000
0,834602;181;60000000
0,834602;141;60000000
0,834602;96;60000000
0,834602;253;60000000
0,834602;0;60000000
0,834602;3;60000000
0,834602;0;60000000
0,834602;11;60000000
0,834602;49;60000000
0,834602;76;60000000
0,834602;153;60000000
0,834602;108;60000000
0,834603;228;60000000
0,834603;245;60000000
0,834603;141;60000000
0,834603;96;60000000
0,834603;252;60000000
0,834603;0;60000000
0,834603;3;60000000
0,834603;0;60000000
0,834603;3;60000000
0,834603;49;60000000
0,834603;108;60000000
0,834603;153;60000000
0,834603;108;60000000
0,834603;228;60000000
0,834603;245;60000000
0,834603;140;60000000
0,834603;96;60000000
0,834603;252;60000000
0,834603;0;60000000
0,834603;3;60000000
0,834603;0;60000000
0,834603;3;60000000
0,834603;49;60000000
0,834603;108;60000000
0,834603;153;60000000
0,834603;108;60000000
