timestamp;byte;samp_rate
1,032703;172;65105
1,032718;221;65105
1,032734;164;65105
1,032749;226;65105
1,032764;242;65105
1,032780;140;65105
1,032795;32;65105
1,032810;252;65105
1,032826;0;65105
1,032841;1;65105
1,032857;0;65105
1,032872;1;65105
1,032887;17;65105
2,042114;172;65105
2,042129;221;65105
2,042144;164;65105
2,042160;226;65105
2,042175;242;65105
2,042190;140;65105
2,042206;32;65105
2,042221;252;65105
2,042236;0;65105
2,042252;1;65105
2,042267;0;65105
2,042283;1;65105
2,042298;17;65105
3,052869;172;65105
3,052884;221;65105
3,052900;164;65105
3,052915;226;65105
3,052931;242;65105
3,052946;140;65105
3,052961;32;65105
3,052977;252;65105
3,052992;0;65105
3,053007;1;65105
3,053023;0;65105
3,053038;1;65105
3,053053;17;65105
4,064300;172;65105
4,064315;221;65105
4,064330;164;65105
4,064346;226;65105
4,064361;242;65105
4,064376;140;65105
4,064392;32;65105
4,064407;252;65105
4,064422;0;65105
4,064438;1;65105
4,064453;0;65105
4,064469;1;65105
4,064484;17;65105
5,079674;172;65105
5,079689;221;65105
5,079704;164;65105
5,079720;226;65105
5,079735;242;65105
5,079751;140;65105
5,079766;32;65105
5,079781;252;65105
5,079797;0;65105
5,079812;1;65105
5,079827;0;65105
5,079843;1;65105
5,079858;17;65105
6,090848;172;65105
6,090863;221;65105
6,090879;164;65105
6,090894;226;65105
6,090909;242;65105
6,090925;140;65105
6,090940;32;65105
6,090955;252;65105
6,090971;0;65105
6,090986;1;65105
6,091002;0;65105
6,091017;1;65105
6,091032;17;65105
7,104101;172;65105
7,104117;221;65105
7,104132;164;65105
7,104147;226;65105
7,104163;242;65105
7,104178;140;65105
7,104194;32;65105
7,104209;252;65105
7,104224;0;65105
7,104240;1;65105
7,104255;0;65105
7,104270;1;65105
7,104286;17;65105
