timestamp;byte;samp_rate
1,110536;1;32000
1,110567;1;32000
1,110598;1;32000
1,110629;1;32000
1,110661;1;32000
1,110692;1;32000
1,110723;1;32000
1,110754;1;32000
1,110786;1;32000
1,110817;1;32000
1,110848;1;32000
1,110879;1;32000
1,110911;1;32000
1,110942;1;32000
1,110973;1;32000
1,111004;1;32000
1,111036;1;32000
1,111067;1;32000
1,111098;1;32000
1,111129;1;32000
1,111161;1;32000
1,111192;1;32000
1,111223;1;32000
1,111254;1;32000
1,111286;1;32000
1,111317;1;32000
1,111348;1;32000
1,111379;1;32000
1,111411;1;32000
1,111442;1;32000
1,111473;1;32000
1,111504;1;32000
1,111536;1;32000
1,111567;1;32000
1,111598;1;32000
1,111629;1;32000
1,111661;1;32000
1,111692;1;32000
1,111723;1;32000
1,111754;1;32000
1,111786;1;32000
1,111817;1;32000
1,111848;1;32000
1,111879;1;32000
1,111911;1;32000
1,111942;1;32000
1,111973;1;32000
1,112004;1;32000
1,112036;1;32000
1,112067;1;32000
1,112098;1;32000
1,112129;1;32000
1,112161;1;32000
1,112192;1;32000
1,112223;1;32000
1,112254;1;32000
1,112286;1;32000
1,112317;1;32000
1,112348;1;32000
1,112379;1;32000
1,112411;1;32000
1,112442;1;32000
1,112473;1;32000
1,112504;1;32000
1,112536;1;32000
1,112567;1;32000
1,112598;1;32000
1,112629;1;32000
1,112661;1;32000
1,112692;1;32000
1,112723;1;32000
1,112754;1;32000
1,112786;1;32000
1,112817;1;32000
1,112848;1;32000
1,112879;1;32000
1,112911;1;32000
1,112942;1;32000
1,112973;1;32000
1,113004;1;32000
1,113036;1;32000
1,113067;1;32000
1,113098;1;32000
1,113129;1;32000
1,113161;1;32000
1,113192;1;32000
1,113223;1;32000
1,113254;1;32000
1,113286;1;32000
1,113317;1;32000
1,113348;1;32000
1,113379;1;32000
1,113411;1;32000
1,113442;1;32000
1,113473;1;32000
1,113504;1;32000
1,113536;1;32000
1,113567;1;32000
1,113598;1;32000
1,113629;1;32000
1,113661;1;32000
1,113692;1;32000
1,113723;1;32000
1,113754;1;32000
1,113786;1;32000
1,113817;1;32000
1,113848;1;32000
1,113879;1;32000
1,113911;1;32000
1,113942;1;32000
1,113973;1;32000
1,114004;1;32000
1,114036;1;32000
1,114067;1;32000
1,114098;1;32000
1,114129;1;32000
1,114161;1;32000
1,114192;1;32000
1,114223;1;32000
1,114254;1;32000
1,114286;1;32000
1,114317;1;32000
1,114348;1;32000
1,114379;1;32000
1,114411;1;32000
1,114442;1;32000
1,114473;1;32000
1,114504;1;32000
1,114536;1;32000
1,114567;1;32000
1,114598;1;32000
1,114629;1;32000
1,114661;1;32000
1,114692;1;32000
1,114723;1;32000
1,114754;1;32000
1,114786;1;32000
1,114817;1;32000
1,114848;1;32000
1,114879;1;32000
1,114911;1;32000
1,114942;1;32000
1,114973;1;32000
1,115004;1;32000
1,115036;1;32000
1,115067;1;32000
1,115098;1;32000
1,115129;1;32000
1,115161;1;32000
1,115192;1;32000
1,115223;1;32000
1,115254;1;32000
1,115286;1;32000
1,115317;1;32000
1,115348;1;32000
1,115379;1;32000
1,115411;1;32000
1,115442;1;32000
1,115473;1;32000
1,115504;1;32000
1,115536;1;32000
1,115567;1;32000
1,115598;1;32000
1,115629;1;32000
1,115661;1;32000
1,115692;1;32000
1,115723;1;32000
1,115754;1;32000
1,115786;1;32000
1,115817;1;32000
1,115848;1;32000
1,115879;1;32000
1,115911;1;32000
1,115942;1;32000
1,115973;1;32000
1,116004;1;32000
1,116036;1;32000
1,116067;1;32000
1,116098;1;32000
1,116129;1;32000
1,116161;1;32000
1,116192;1;32000
1,116223;1;32000
1,116254;1;32000
1,116286;1;32000
1,116317;1;32000
1,116348;1;32000
1,116379;1;32000
1,116411;1;32000
1,116442;1;32000
1,116473;1;32000
1,116504;1;32000
1,116536;1;32000
1,116567;1;32000
1,116598;1;32000
1,116629;1;32000
1,116661;1;32000
1,116692;1;32000
1,116723;1;32000
1,116754;1;32000
1,116786;1;32000
1,116817;1;32000
1,116848;1;32000
1,116879;1;32000
1,116911;1;32000
1,116942;1;32000
1,116973;1;32000
1,117004;1;32000
1,117036;1;32000
1,117067;1;32000
1,117098;1;32000
1,117129;1;32000
1,117161;1;32000
1,117192;1;32000
1,117223;1;32000
1,117254;1;32000
1,117286;1;32000
1,117317;1;32000
1,117348;1;32000
1,117379;1;32000
1,117411;1;32000
1,117442;1;32000
1,117473;1;32000
1,117504;1;32000
1,117536;1;32000
1,117567;1;32000
1,117598;1;32000
1,117629;1;32000
1,117661;1;32000
