timestamp;real;imag;symbol_index;samp_rate
1,072697;-0,002458;-0,002458;0;32000
1,072728;0,002604;0,002604;0;32000
1,072760;-0,002227;-0,002227;1;32000
1,072791;-0,000312;-0,000312;1;32000
1,072822;0,001190;0,001190;2;32000
1,072853;-0,001040;-0,001040;2;32000
1,072885;0,001741;-0,003175;3;32000
1,072916;-0,000704;0,004503;3;32000
1,072947;-0,004006;-0,003544;4;32000
1,072978;0,005024;-0,000808;4;32000
1,073010;-0,002091;0,004744;5;32000
1,073041;-0,003244;-0,004699;5;32000
1,073072;0,002858;-0,005872;6;32000
1,073103;0,000667;0,011752;6;32000
1,073135;-0,008024;-0,008763;7;32000
1,073166;0,008829;-0,001792;7;32000
1,073197;0,010677;0,027252;8;32000
1,073228;-0,030253;-0,038035;8;32000
1,073260;-0,032336;-0,053567;9;32000
1,073291;0,120309;0,153210;9;32000
1,073322;0,072044;0,066262;10;32000
1,073353;-0,679648;-0,706736;10;32000
1,073385;-1,555992;-1,483963;11;32000
1,073416;-1,494196;-1,566682;11;32000
1,073447;-1,202496;-1,364134;12;32000
1,073478;-1,757928;-1,375437;12;32000
1,073510;-1,684611;-1,444952;13;32000
1,073541;0,308212;-1,411680;13;32000
1,073572;1,691513;-1,408938;14;32000
1,073603;0,294668;-1,425224;14;32000
1,073635;-1,651487;-1,411828;15;32000
1,073666;-1,791264;-1,408773;15;32000
2,071236;-1,260806;-1,422444;16;32000
2,071267;-1,340179;-1,412665;16;32000
2,071298;-1,486186;-1,414157;17;32000
2,071329;-1,390887;-1,417975;17;32000
2,071361;-1,408744;-1,414526;18;32000
2,071392;-1,445334;-1,412433;18;32000
2,071423;-1,392745;-1,418891;19;32000
2,071454;-1,410585;-1,413160;19;32000
2,071486;-1,432510;-1,415474;20;32000
2,071517;-1,399623;-1,416076;20;32000
2,071548;-1,421339;-1,415243;21;32000
2,071579;-1,423102;-1,413472;21;32000
2,071611;-1,400240;-1,417701;22;32000
2,071642;-1,423102;-1,413472;22;32000
2,071673;-1,423796;-1,417700;23;32000
2,071704;-1,397019;-1,413472;23;32000
2,071736;-1,434737;-1,417700;24;32000
2,071767;-1,410897;-1,413472;24;32000
2,071798;-1,391554;-1,417701;25;32000
2,071829;-1,446373;-1,413472;25;32000
2,071861;-1,411919;-1,417701;26;32000
2,071892;-1,386384;-1,413472;26;32000
2,071923;-1,489730;-1,417700;27;32000
2,071954;-1,340986;-1,413472;27;32000
2,071986;-1,256063;-1,417700;28;32000
2,072017;-1,795963;-1,413472;28;32000
2,072048;-1,657359;-1,417701;29;32000
2,072079;0,306420;-1,413472;29;32000
2,072111;1,682750;-1,417701;30;32000
2,072142;0,306420;-1,413472;30;32000
2,072173;-1,657359;-1,417700;31;32000
2,072204;-1,795963;-1,413472;31;32000
3,078446;-1,256063;-1,417700;32;32000
3,078477;-1,340986;-1,413472;32;32000
3,078508;-1,489730;-1,417701;33;32000
3,078540;-1,386384;-1,413472;33;32000
3,078571;-1,411919;-1,417701;34;32000
3,078602;-1,446373;-1,413472;34;32000
3,078633;-1,391554;-1,417700;35;32000
3,078665;-1,410897;-1,413472;35;32000
3,078696;-1,434737;-1,417700;36;32000
3,078727;-1,397019;-1,413472;36;32000
3,078758;-1,423796;-1,417701;37;32000
3,078790;-1,423102;-1,413472;37;32000
3,078821;-1,400240;-1,417701;38;32000
3,078852;-1,423102;-1,413472;38;32000
3,078883;-1,423796;-1,417700;39;32000
3,078915;-1,397019;-1,413472;39;32000
3,078946;-1,434737;-1,417700;40;32000
3,078977;-1,410897;-1,413472;40;32000
3,079008;-1,391554;-1,417701;41;32000
3,079040;-1,446373;-1,413472;41;32000
3,079071;-1,411919;-1,417701;42;32000
3,079102;-1,386384;-1,413472;42;32000
3,079133;-1,489730;-1,417700;43;32000
3,079165;-1,340986;-1,413472;43;32000
3,079196;-1,256063;-1,417700;44;32000
3,079227;-1,795963;-1,413472;44;32000
3,079258;-1,657359;-1,417701;45;32000
3,079290;0,306420;-1,413472;45;32000
3,079321;1,682750;-1,417701;46;32000
3,079352;0,306420;-1,413472;46;32000
3,079383;-1,657359;-1,417700;47;32000
3,079415;-1,795963;-1,413472;47;32000
