timestamp;real;imag;symbol_index;samp_rate
1,032207;-0,002458;-0,002458;0;65105
1,032223;0,002604;0,002604;0;65105
1,032238;-0,002227;-0,002227;1;65105
1,032254;-0,000312;-0,000312;1;65105
1,032269;0,001190;0,001190;2;65105
1,032284;-0,001040;-0,001040;2;65105
1,032300;-0,003175;0,001741;3;65105
1,032315;0,004503;-0,000704;3;65105
1,032330;-0,003544;-0,004006;4;65105
1,032346;-0,000808;0,005024;4;65105
1,032361;0,004744;-0,002091;5;65105
1,032376;-0,004699;-0,003244;5;65105
1,032392;-0,005872;0,002858;6;65105
1,032407;0,011752;0,000667;6;65105
1,032423;-0,008763;-0,008024;7;65105
1,032438;-0,001792;0,008829;7;65105
1,032453;0,027252;0,010677;8;65105
1,032469;-0,038035;-0,030253;8;65105
1,032484;-0,053567;-0,032336;9;65105
1,032499;0,153210;0,120309;9;65105
1,032515;0,066262;0,072044;10;65105
1,032530;-0,706736;-0,679648;10;65105
1,032545;-1,483963;-1,555992;11;65105
1,032561;-1,566682;-1,494196;11;65105
1,032576;-1,364134;-1,202496;12;65105
1,032591;-1,375437;-1,757928;12;65105
1,032607;-1,444952;-1,684611;13;65105
1,032622;-1,411680;0,308212;13;65105
1,032638;-1,408938;1,691513;14;65105
1,032653;-1,425224;0,294668;14;65105
1,032668;-1,411828;-1,651487;15;65105
1,032684;-1,408773;-1,791264;15;65105
2,043943;-1,422444;-1,260806;16;65105
2,043959;-1,412665;-1,340179;16;65105
2,043974;-1,414157;-1,486186;17;65105
2,043989;-1,417975;-1,390887;17;65105
2,044005;-1,414526;-1,408744;18;65105
2,044020;-1,412433;-1,445334;18;65105
2,044035;-1,418891;-1,392745;19;65105
2,044051;-1,413160;-1,410585;19;65105
2,044066;-1,415474;-1,432510;20;65105
2,044081;-1,416076;-1,399623;20;65105
2,044097;-1,415243;-1,421339;21;65105
2,044112;-1,413472;-1,423102;21;65105
2,044127;-1,417701;-1,400240;22;65105
2,044143;-1,413472;-1,423102;22;65105
2,044158;-1,417700;-1,423796;23;65105
2,044174;-1,413472;-1,397019;23;65105
2,044189;-1,417700;-1,434737;24;65105
2,044204;-1,413472;-1,410897;24;65105
2,044220;-1,417701;-1,391554;25;65105
2,044235;-1,413472;-1,446373;25;65105
2,044250;-1,417701;-1,411919;26;65105
2,044266;-1,413472;-1,386384;26;65105
2,044281;-1,417700;-1,489730;27;65105
2,044296;-1,413472;-1,340986;27;65105
2,044312;-1,417700;-1,256063;28;65105
2,044327;-1,413472;-1,795963;28;65105
2,044343;-1,417701;-1,657359;29;65105
2,044358;-1,413472;0,306420;29;65105
2,044373;-1,417701;1,682750;30;65105
2,044389;-1,413472;0,306420;30;65105
2,044404;-1,417700;-1,657359;31;65105
2,044419;-1,413472;-1,795963;31;65105
3,055181;-1,417700;-1,256063;32;65105
3,055196;-1,413472;-1,340986;32;65105
3,055212;-1,417701;-1,489730;33;65105
3,055227;-1,413472;-1,386384;33;65105
3,055242;-1,417701;-1,411919;34;65105
3,055258;-1,413472;-1,446373;34;65105
3,055273;-1,417700;-1,391554;35;65105
3,055289;-1,413472;-1,410897;35;65105
3,055304;-1,417700;-1,434737;36;65105
3,055319;-1,413472;-1,397019;36;65105
3,055335;-1,417701;-1,423796;37;65105
3,055350;-1,413472;-1,423102;37;65105
3,055365;-1,417701;-1,400240;38;65105
3,055381;-1,413472;-1,423102;38;65105
3,055396;-1,417700;-1,423796;39;65105
3,055411;-1,413472;-1,397019;39;65105
3,055427;-1,417700;-1,434737;40;65105
3,055442;-1,413472;-1,410897;40;65105
3,055458;-1,417701;-1,391554;41;65105
3,055473;-1,413472;-1,446373;41;65105
3,055488;-1,417701;-1,411919;42;65105
3,055504;-1,413472;-1,386384;42;65105
3,055519;-1,417700;-1,489730;43;65105
3,055534;-1,413472;-1,340986;43;65105
3,055550;-1,417700;-1,256063;44;65105
3,055565;-1,413472;-1,795963;44;65105
3,055580;-1,417701;-1,657359;45;65105
3,055596;-1,413472;0,306420;45;65105
3,055611;-1,417701;1,682750;46;65105
3,055626;-1,413472;0,306420;46;65105
3,055642;-1,417700;-1,657359;47;65105
3,055657;-1,413472;-1,795963;47;65105
4,069901;-1,417700;-1,256063;48;65105
4,069916;-1,413472;-1,340986;48;65105
4,069931;-1,417701;-1,489730;49;65105
4,069947;-1,413472;-1,386384;49;65105
4,069962;-1,417701;-1,411919;50;65105
4,069977;-1,413472;-1,446373;50;65105
4,069993;-1,417700;-1,391554;51;65105
4,070008;-1,413472;-1,410897;51;65105
4,070023;-1,417700;-1,434737;52;65105
4,070039;-1,413472;-1,397019;52;65105
4,070054;-1,417701;-1,423796;53;65105
4,070069;-1,413472;-1,423102;53;65105
4,070085;-1,417701;-1,400240;54;65105
4,070100;-1,413472;-1,423102;54;65105
4,070116;-1,417700;-1,423796;55;65105
4,070131;-1,413472;-1,397019;55;65105
4,070146;-1,417700;-1,434737;56;65105
4,070162;-1,413472;-1,410897;56;65105
4,070177;-1,417701;-1,391554;57;65105
4,070192;-1,413472;-1,446373;57;65105
4,070208;-1,417701;-1,411919;58;65105
4,070223;-1,413472;-1,386384;58;65105
4,070238;-1,417700;-1,489730;59;65105
4,070254;-1,413472;-1,340986;59;65105
4,070269;-1,417700;-1,256063;60;65105
4,070285;-1,413472;-1,795963;60;65105
4,070300;-1,417701;-1,657359;61;65105
4,070315;-1,413472;0,306420;61;65105
4,070331;-1,417701;1,682750;62;65105
4,070346;-1,413472;0,306420;62;65105
4,070361;-1,417700;-1,657359;63;65105
4,070377;-1,413472;-1,795963;63;65105
5,072114;-1,417700;-1,256063;64;65105
5,072129;-1,413472;-1,340986;64;65105
5,072144;-1,417701;-1,489730;65;65105
5,072160;-1,413472;-1,386384;65;65105
