real;imag
-1,4142135382;1,4142135382
-1,4142135382;1,4142135382
1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;1,4142135382
1,4142135382;-1,4142135382
1,4142135382;1,4142135382
1,4142135382;-1,4142135382
-1,4142135382;1,4142135382
-1,4142135382;1,4142135382
1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;1,4142135382
-1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;1,4142135382
1,4142135382;1,4142135382
1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;1,4142135382
-1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;1,4142135382
1,4142135382;1,4142135382
1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;-1,4142135382
-1,4142135382;1,4142135382
-1,4142135382;1,4142135382
1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;1,4142135382
1,4142135382;-1,4142135382
1,4142135382;1,4142135382
1,4142135382;-1,4142135382
-1,4142135382;1,4142135382
-1,4142135382;1,4142135382
1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;1,4142135382
-1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;1,4142135382
1,4142135382;1,4142135382
1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;1,4142135382
-1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;1,4142135382
1,4142135382;1,4142135382
1,4142135382;1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
1,4142135382;-1,4142135382
-1,4142135382;-1,4142135382
