sample_index;real;imag;amplitude;phase_rad
0;-0,0024576418;-0,0024576418;0,0034756302;-2,3561944962
1;0,0026036967;0,0026036967;0,0036821831;0,7853981853
2;-0,0022266775;-0,0022266775;0,0031489974;-2,3561944962
3;-0,0003120266;-0,0003120266;0,0004412722;-2,3561944962
4;0,0011904750;0,0011904750;0,0016835858;0,7853981853
5;-0,0010395255;-0,0010395255;0,0014701111;-2,3561944962
6;-0,0031747005;0,0017405830;0,0036205461;2,6400811672
7;0,0045029600;-0,0007044333;0,0045577269;-0,1551800966
8;-0,0035439043;-0,0040058326;0,0053484533;-2,2950859070
9;-0,0008076490;0,0050237975;0,0050883037;1,7301970720
10;0,0047435630;-0,0020907416;0,0051838779;-0,4151379168
11;-0,0046988777;-0,0032438799;0,0057098344;-2,5373711586
12;-0,0058720047;0,0028583466;0,0065307417;2,6885807514
13;0,0117517598;0,0006667894;0,0117706610;0,0566787608
14;-0,0087626809;-0,0080242744;0,0118816476;-2,4001531601
15;-0,0017923084;0,0088289101;0,0090089962;1,7710791826
16;0,0272520203;0,0106770871;0,0292689744;0,3734093904
17;-0,0380352661;-0,0302528050;0,0485995226;-2,4696700573
18;-0,0535667576;-0,0323356204;0,0625698790;-2,5984930992
19;0,1532100290;0,1203087494;0,1948011965;0,6656844020
20;0,0662624910;0,0720438436;0,0978827551;0,8271749020
21;-0,7067360282;-0,6796478629;0,9805085659;-2,3757307529
22;-1,4839628935;-1,5559922457;2,1501762867;-2,3325047493
23;-1,5666822195;-1,4941962957;2,1649746895;-2,3798713684
24;-1,3641335964;-1,2024960518;1,8184766769;-2,4190881252
25;-1,3754369020;-1,7579275370;2,2320697308;-2,2347252369
26;-1,4449523687;-1,6846109629;2,2194147110;-2,2797646523
27;-1,4116798639;0,3082124293;1,4449342489;2,9266355038
28;-1,4089376926;1,6915128231;2,2014360428;2,2653055191
29;-1,4252239466;0,2946683466;1,4553669691;2,9377129078
30;-1,4118283987;-1,6514868736;2,1727099419;-2,2781186104
31;-1,4087733030;-1,7912639380;2,2788743973;-2,2372319698
32;-1,4224439859;-1,2608064413;1,9007838964;-2,4163613319
33;-1,4126645327;-1,3401786089;1,9472286701;-2,3825197220
34;-1,4141565561;-1,4861860275;2,0514843464;-2,3313648701
35;-1,4179751873;-1,3908870220;1,9862579107;-2,3658380508
